query_id,engine,metric,value
P01A,shared,overlap_fraction,0.0
P01A,asta,topical_hit_rate,0.8
P01A,asta,topical_breadth,1
P01A,asta,currency_mean_year,2021.8
P01A,asta,citation_mean_log,3.9643
P01A,google_scholar,topical_hit_rate,0.9
P01A,google_scholar,topical_breadth,1
P01A,google_scholar,currency_mean_year,2024.4
P01A,google_scholar,citation_mean_log,3.0341
P01A,asta,calibration_rate,0.8
P01B,shared,overlap_fraction,0.1
P01B,asta,topical_hit_rate,1.0
P01B,asta,topical_breadth,1
P01B,asta,currency_mean_year,2022.7
P01B,asta,citation_mean_log,3.1004
P01B,google_scholar,topical_hit_rate,0.8
P01B,google_scholar,topical_breadth,1
P01B,google_scholar,currency_mean_year,2022.62
P01B,google_scholar,citation_mean_log,3.2206
P01B,asta,calibration_rate,1.0
P02A,shared,overlap_fraction,0.1
P02A,asta,topical_hit_rate,0.9
P02A,asta,topical_breadth,1
P02A,asta,currency_mean_year,2022.9
P02A,asta,citation_mean_log,2.8338
P02A,google_scholar,topical_hit_rate,1.0
P02A,google_scholar,topical_breadth,1
P02A,google_scholar,currency_mean_year,2023.3
P02A,google_scholar,citation_mean_log,2.7383
P02A,asta,calibration_rate,1.0
P02B,shared,overlap_fraction,0.0
P02B,asta,topical_hit_rate,0.6
P02B,asta,topical_breadth,2
P02B,asta,currency_mean_year,2021.4
P02B,asta,citation_mean_log,5.003
P02B,google_scholar,topical_hit_rate,1.0
P02B,google_scholar,topical_breadth,1
P02B,google_scholar,currency_mean_year,2024.0
P02B,google_scholar,citation_mean_log,2.3803
P02B,asta,calibration_rate,0.6
P03A,shared,overlap_fraction,0.1
P03A,asta,topical_hit_rate,0.9
P03A,asta,topical_breadth,1
P03A,asta,currency_mean_year,2022.2
P03A,asta,citation_mean_log,4.4572
P03A,google_scholar,topical_hit_rate,1.0
P03A,google_scholar,topical_breadth,1
P03A,google_scholar,currency_mean_year,2021.0
P03A,google_scholar,citation_mean_log,6.3244
P03A,asta,calibration_rate,0.9
P03B,shared,overlap_fraction,0.2
P03B,asta,topical_hit_rate,0.9
P03B,asta,topical_breadth,1
P03B,asta,currency_mean_year,2022.4
P03B,asta,citation_mean_log,4.3319
P03B,google_scholar,topical_hit_rate,1.0
P03B,google_scholar,topical_breadth,1
P03B,google_scholar,currency_mean_year,2023.7
P03B,google_scholar,citation_mean_log,3.4288
P03B,asta,calibration_rate,0.9
P04A,shared,overlap_fraction,0.2
P04A,asta,topical_hit_rate,0.9
P04A,asta,topical_breadth,1
P04A,asta,currency_mean_year,2021.4
P04A,asta,citation_mean_log,4.0753
P04A,google_scholar,topical_hit_rate,0.9
P04A,google_scholar,topical_breadth,1
P04A,google_scholar,currency_mean_year,2021.1
